,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross
749,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
750,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
751,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
752,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
753,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
754,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
755,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
756,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
757,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
758,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
759,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
760,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
761,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
762,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
763,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
764,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
765,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
766,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
767,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
768,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
769,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
770,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
771,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
772,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
773,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
774,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
775,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
776,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
777,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
778,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
779,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
780,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
781,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
782,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
783,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
784,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
785,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
786,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
787,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
788,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
789,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
790,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
791,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
792,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
793,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
794,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
795,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
796,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
797,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
798,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
799,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
800,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
801,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
802,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
803,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
804,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
805,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
806,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
807,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
808,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
809,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
810,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
811,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
812,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
813,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
814,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
815,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
816,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
817,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
818,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
819,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
820,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
821,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
822,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
823,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
824,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
825,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
826,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
827,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
828,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
829,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
830,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
831,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
832,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
833,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
834,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
835,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
836,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
837,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
838,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
839,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
840,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
841,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
842,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
843,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
844,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
845,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
846,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
847,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
848,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
849,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
850,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
851,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
852,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
853,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
854,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
855,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
856,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
857,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
858,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
859,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
860,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
861,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
862,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
863,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
864,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
865,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
866,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
867,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
868,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
869,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
870,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
871,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
872,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
873,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
874,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
875,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
876,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
877,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
878,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
879,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
880,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
881,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
882,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
883,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
884,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
885,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
886,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
887,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
888,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
889,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
890,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
891,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
892,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
893,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
894,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
895,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
896,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
897,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
898,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
899,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
900,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
901,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
902,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
903,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
904,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
905,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
906,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
907,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
908,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
909,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
910,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
911,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
912,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
913,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
914,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
915,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
916,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
917,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
918,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
919,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
920,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
921,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
922,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
923,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
924,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
925,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
926,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
927,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
928,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
929,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
930,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
931,The Shawshank Redemption,(1994),142 min,"

9.3
",82        ,"2,725,194",$28.34M
932,The Godfather,(1972),175 min,"

9.2
",100        ,"1,894,443",$134.97M
933,Hababam Sinifi,(1975),87 min,"

9.2
",****,"41,538",%^%^%
934,DAMaN,(2022),121 min,"

9.1
",****,"13,162",%^%^%
935,The Dark Knight,(2008),152 min,"

9.0
",84        ,"2,698,044",$534.86M
936,Schindler's List,(1993),195 min,"

9.0
",95        ,"1,376,254",$96.90M
937,12 Angry Men,(1957),96 min,"

9.0
",97        ,"805,894",$4.36M
938,The Lord of the Rings: The Return of the King,(2003),201 min,"

9.0
",94        ,"1,874,787",$377.85M
939,The Godfather Part II,(1974),202 min,"

9.0
",90        ,"1,292,020",$57.30M
940,Aynabaji,(2016),147 min,"

9.0
",****,"27,425",%^%^%
941,Pulp Fiction,(1994),154 min,"

8.9
",95        ,"2,093,444",$107.93M
942,Kimetsu no Yaiba: Tsuzumi Yashiki Hen,(2021),87 min,"

8.9
",****,"17,265",%^%^%
943,Maratonci trce pocasni krug,(1982),92 min,"

8.9
",****,"16,297",%^%^%
944,Tosun Pasa,(1976),90 min,"

8.9
",****,"23,803",%^%^%
945,Hababam Sinifi Sinifta Kaldi,(1975),91 min,"

8.9
",****,"23,854",%^%^%
946,Fight Club,(1999),139 min,"

8.8
",66        ,"2,168,321",$37.03M
947,The Lord of the Rings: The Fellowship of the Ring,(2001),178 min,"

8.8
",92        ,"1,903,910",$315.54M
948,Inception,(2010),148 min,"

8.8
",74        ,"2,394,574",$292.58M
949,Forrest Gump,(1994),142 min,"

8.8
",82        ,"2,119,536",$330.25M
950,"Il buono, il brutto, il cattivo",(1966),161 min,"

8.8
",90        ,"772,610",$6.10M
951,The Lord of the Rings: The Two Towers,(2002),179 min,"

8.8
",87        ,"1,692,575",$342.55M
952,Jai Bhim,(2021),164 min,"

8.8
",****,"205,541",%^%^%
953,Kill Bill: The Whole Bloody Affair,(2006),247 min,"

8.8
",****,"13,657",%^%^%
954,777 Charlie,(2022),136 min,"

8.8
",****,"34,184",%^%^%
955,Kimetsu no Yaiba: Natagumo Yama Hen,(2020),138 min,"

8.8
",****,"12,947",%^%^%
956,Rocketry: The Nambi Effect,(2022),157 min,"

8.8
",****,"52,613",%^%^%
957,Ko to tamo peva,(1980),86 min,"

8.8
",****,"15,900",%^%^%
958,Balkanski spijun,(1984),95 min,"

8.8
",****,"11,873",%^%^%
959,#Home,(2021),158 min,"

8.8
",****,"13,915",%^%^%
960,Manichitrathazhu,(1993),169 min,"

8.8
",****,"11,302",%^%^%
961,Süt Kardesler,(1976),80 min,"

8.8
",****,"20,500",%^%^%
962,Hababam Sinifi Uyaniyor,(1977),94 min,"

8.8
",****,"20,158",%^%^%
963,The Matrix,(1999),136 min,"

8.7
",73        ,"1,944,100",$171.48M
964,GoodFellas,(1990),145 min,"

8.7
",91        ,"1,182,514",$46.84M
965,One Flew Over the Cuckoo's Nest,(1975),133 min,"

8.7
",84        ,"1,022,407",$112.00M
966,The Empire Strikes Back,(1980),124 min,"

8.7
",82        ,"1,311,930",$290.48M
967,The Kashmir Files,(2022),170 min,"

8.7
",****,"563,810",%^%^%
968,Soorarai Pottru,(2020),153 min,"

8.7
",****,"118,954",%^%^%
969,Toma,(2021),140 min,"

8.7
",****,"11,426",%^%^%
970,Pariyerum Perumal,(2018),154 min,"

8.7
",****,"16,663",%^%^%
971,Peranbu,(2018),147 min,"

8.7
",****,"15,285",%^%^%
972,Kibar Feyzo,(1978),83 min,"

8.7
",****,"16,692",%^%^%
973,Zügürt Aga,(1985),101 min,"

8.7
",****,"15,696",%^%^%
974,Saban Oglu Saban,(1977),90 min,"

8.7
",****,"18,098",%^%^%
975,Neseli Günler,(1978),95 min,"

8.7
",****,"11,493",%^%^%
976,Interstellar,(2014),169 min,"

8.6
",74        ,"1,887,121",$188.02M
977,Se7en,(1995),127 min,"

8.6
",65        ,"1,683,828",$100.13M
978,The Silence of the Lambs,(1991),118 min,"

8.6
",86        ,"1,457,143",$130.74M
979,The Green Mile,(1999),189 min,"

8.6
",61        ,"1,324,876",$136.80M
